# File Name: /shared/data/ui/current_run/Untitled_2023-12-01-135038_20231201_135140.eds
# Comment: 
# Operator: Dongjun H.
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778620070344
# Instrument Serial Number: 2778620070344
# Heated Cover Serial Number: 2779320060447
# Block Serial Number: 2778320050408
# Run Start Date/Time: 2023-12-01 01:51:55 PM PST
# Run End Date/Time: 2023-12-01 03:34:27 PM PST
# Run Duration: 102 minutes 32 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-01 03:35:35 PM PST
# Exported On: 2023-12-01 03:35:40 PM PST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"67","C19","false","111","GAPDH","UNKNOWN","SYBR","None","Amp","2.5193192537868407","","","21.753106763780885","0.8898109566587827","21.436570118967705","0.6416860741082985","true","19948.682858316937","true","3","15","83.15379333496094","","",""
"68","C20","false","111","GAPDH","UNKNOWN","SYBR","None","Amp","2.5290476331185885","","","20.698116970775096","0.684748262433711","21.436570118967705","0.6416860741082985","true","19948.682858316937","true","3","11","83.24494171142578","","",""
"69","C21","false","111","GAPDH","UNKNOWN","SYBR","None","Amp","2.5450905322280737","","","21.85848662234713","0.8849175929516828","21.436570118967705","0.6416860741082985","true","19948.682858316937","true","3","16","83.25283813476562","","",""
"70","C22","false","111","NF2","UNKNOWN","SYBR","None","Amp","2.5052160044215204","","","22.32021614946452","0.2746866497753963","22.884462244328656","0.7761402557072796","true","5741.862861131993","true","3","18","81.88504028320312","","",""
"71","C23","false","111","NF2","UNKNOWN","SYBR","None","Amp","2.474027937032481","","","22.563581597864626","0.22176110730562748","22.884462244328656","0.7761402557072796","true","5741.862861131993","true","3","17","81.97622680664062","","",""
"72","C24","false","111","NF2","UNKNOWN","SYBR","None","Amp","2.4771544463053283","","","23.769588985656817","0.5742740782990401","22.884462244328656","0.7761402557072796","true","5741.862861131993","true","3","19","81.97622680664062","","",""
"73","D1","false","112","SCN5A","UNKNOWN","SYBR","None","Amp","2.604904254068731","","","30.8816043127091","0.9889387180673037","30.929802648519807","0.3156577962541475","true","14129.579076723134","true","3","24","84.07075500488281","","",""
"74","D2","false","112","SCN5A","UNKNOWN","SYBR","None","Amp","2.6336175903235017","","","31.266787633704915","0.9878589478541553","30.929802648519807","0.3156577962541475","true","14129.579076723134","true","3","23","84.07075500488281","","",""
"75","D3","false","112","SCN5A","UNKNOWN","SYBR","None","Amp","2.6179077243986986","","","30.64101599914541","0.9745564048894324","30.929802648519807","0.3156577962541475","true","14129.579076723134","true","3","26","83.97957611083984","","",""
"76","D4","false","112","ATP2A2","UNKNOWN","SYBR","None","Inconclusive","2.1469781361029168","","","26.774090201634866","0.920554615142714","23.56286174477508","2.803297690521604","true","14388.314446304512","true","3","20","81.42667388916016","92.73239135742188","",""
"77","D5","false","112","ATP2A2","UNKNOWN","SYBR","None","Amp","2.7032381943735544","","","22.310074372004514","0.9040401559425933","23.56286174477508","2.803297690521604","true","14388.314446304512","true","3","16","81.426513671875","","",""
"78","D6","false","112","ATP2A2","UNKNOWN","SYBR","None","Amp","2.4833273117611987","","","21.60442066068586","0.7322403194841094","23.56286174477508","2.803297690521604","true","14388.314446304512","true","3","14","81.51768493652344","","",""
"79","D7","false","112","MYH7","UNKNOWN","SYBR","None","Amp","2.484639431567193","","","25.61408369248349","0.880870204715404","24.952759925027777","0.5776139268552302","true","11800.235948122277","true","3","20","86.1676025390625","","",""
"80","D8","false","112","MYH7","UNKNOWN","SYBR","None","Amp","2.530251299993525","","","24.697104737306795","0.7622693207467603","24.952759925027777","0.5776139268552302","true","11800.235948122277","true","3","19","86.1676025390625","","",""
"81","D9","false","112","MYH7","UNKNOWN","SYBR","None","Amp","2.549987477263664","","","24.54709134529304","0.753507146157214","24.952759925027777","0.5776139268552302","true","11800.235948122277","true","3","20","86.14849853515625","","",""
"82","D10","false","112","MYL2","UNKNOWN","SYBR","None","Amp","2.6955995892387166","","","28.91271866407466","0.9764422094537164","28.304510283548996","0.7337534189619334","true","14856.637297205674","true","3","24","84.14413452148438","","",""
"83","D11","false","112","MYL2","UNKNOWN","SYBR","None","Amp","2.6252097533563656","","","28.51124462377507","0.9755580473213925","28.304510283548996","0.7337534189619334","true","14856.637297205674","true","3","20","84.32635498046875","","",""
"84","D12","false","112","MYL2","UNKNOWN","SYBR","None","Amp","2.7226726454403902","","","27.489567562797255","0.8724618592112147","28.304510283548996","0.7337534189619334","true","14856.637297205674","true","3","19","84.14413452148438","","",""
"85","D13","false","112","TNNI3","UNKNOWN","SYBR","None","Amp","2.5649320170880303","","","20.65823964095768","0.6764140040212921","22.501593674030417","1.6045822147833515","true","19384.55439175768","true","3","11","81.5948715209961","84.87504577636719","78.86138916015625",""
"86","D14","false","112","TNNI3","UNKNOWN","SYBR","None","Amp","2.5545769206692737","","","23.585192015798548","0.9823633757075565","22.501593674030417","1.6045822147833515","true","19384.55439175768","true","3","18","81.41264343261719","84.96615600585938","",""
