"","wi_i_psc_1","wi_i_psc_2","wi_i_psc_3","h11_i_psc_1","h11_i_psc_2","h11_i_psc_3","hgnc_symbol"
"ENSG00000053918",7.77251005800564,7.8850919950263,7.4080340710167,7.58936891524111,7.25556969506082,7.2102458685479,"KCNQ1"
"ENSG00000269821",6.35821794615393,6.60781571121622,7.21818088121173,7.17431110258461,7.1266712029544,6.61132332717424,"KCNQ1OT1"
"ENSG00000129757",9.65719176371652,9.60292445517102,8.41023692036893,8.6124906580314,8.46637397883213,8.41849581462148,"CDKN1C"
"ENSG00000254827",5.18916229606352,5.76015704046544,5.68819431414795,5.51193606298776,5.65084094740345,5.43225849630727,"SLC22A18AS"
"ENSG00000110628",8.05591219454859,8.34332552755566,7.81884297472919,7.97717127835767,7.76536600104881,6.79170622059616,"SLC22A18"
"ENSG00000181649",7.25541343064782,7.74817137749397,7.61651700745461,7.84207949208812,8.23929567114339,7.58238656128944,"PHLDA2"
"ENSG00000205531",12.1489906765455,12.111249164407,11.8835094630371,11.9954698475868,12.1718740256286,12.3332783433741,"NAP1L4"
"ENSG00000183562",5.80483067526391,5.18916229606352,5.62187073937371,5.58406876767317,5.65084094740345,5.73020902711406,NA
"ENSG00000110619",11.6407972117329,11.5434359252413,11.3852172696977,11.6652378743807,11.7722426960249,11.7808462714208,"CARS1"
"ENSG00000247473",5.40827875476777,5.70053418619523,5.43960949891239,5.18916229606352,5.18916229606352,5.43225849630727,"CARS1-AS1"
"ENSG00000021762",8.43331310682997,8.34852543737224,8.32244212140391,8.48410834609889,8.39058293354625,8.32228738229102,"OSBPL5"
"ENSG00000234791",5.7656051608526,5.70053418619523,5.62187073937371,5.78992687561757,5.51631177604261,5.43225849630727,NA
"ENSG00000236301",5.4987433775035,5.18916229606352,5.74641216277812,5.78992687561757,5.75341346213997,5.43225849630727,"MRGPRG-AS1"
"ENSG00000005801",10.5785054009971,10.4891423215209,10.6377032986636,10.2492085463544,10.3425982707538,10.2306722697323,"ZNF195"
"ENSG00000223756",10.5446802376005,9.94096142160731,11.4812474458434,11.051566817846,10.6456590694088,11.193617373946,NA
"ENSG00000189398",6.44654338057963,6.41144505129513,7.65784203393346,7.26856790209398,6.80666621465799,6.80677314085548,"OR7E12P"
"ENSG00000166492",8.46845859589388,8.52398938250394,9.43377357168738,9.29324848743914,9.2086301314692,9.38146124939972,"FAM86GP"
"ENSG00000255367",6.05348650248761,6.10064918497846,6.3832613300829,5.86899050210992,6.18007337646283,6.17345794708903,"LOC101927708"
"ENSG00000254757",5.18916229606352,5.18916229606352,5.74641216277812,5.41763530158468,5.51631177604261,5.43225849630727,NA
"ENSG00000167311",7.58896053575259,8.0029744058325,7.77475126412211,7.89998601778686,8.05412121974473,7.76420356593597,"ART5"
"ENSG00000129749",5.7233451268249,5.95134716918995,5.54290621656904,6.21547329745258,5.79798733897092,5.98620036575663,"CHRNA10"
"ENSG00000110713",11.5059011892115,10.7345205298521,11.3429822650744,11.3939998948548,11.171148390802,11.6912669763733,"NUP98"
"ENSG00000148985",9.75211613592673,10.333298436987,9.52748549155158,9.95580990112126,10.3859346231388,10.2168800297647,"PGAP2"
"ENSG00000177105",9.23354670926111,9.62217278613192,9.05908039456697,9.18564504978674,9.79169224758327,9.73859238295088,"RHOG"
"ENSG00000228661",5.87622438953296,5.44585014100165,5.62187073937371,5.97181085164205,5.58941112753347,5.60923011344797,"STIM1-AS1"
"ENSG00000167323",9.13272086710454,9.0407904002408,8.93067577442875,9.21051440321418,9.05030870338838,9.30749967803474,"STIM1"
"ENSG00000229368",5.90909487486126,5.63259774045074,5.68819431414795,6.00296225041543,5.18916229606352,6.05370140058679,NA
"ENSG00000230593",5.90909487486126,6.02968496940848,6.11163218058287,6.14208700546006,6.0731263431831,5.67365025968087,NA
"ENSG00000167325",11.9840060507842,11.311981354618,11.6653556363547,11.4808109731125,11.4290321088138,11.7173066322255,"RRM1"
"ENSG00000254480",5.18916229606352,5.55169810502553,5.74641216277812,5.51193606298776,5.51631177604261,5.53254796178784,"LINC02749"
"ENSG00000132109",8.27132163801013,8.31703362066214,8.08737205579533,8.10513246956712,8.47412025709581,8.5535376967164,"TRIM21"
"ENSG00000167333",8.06519866846087,7.99631159024242,7.85453141585903,7.95555508927656,7.7589236384949,7.66113336858741,"TRIM68"
"ENSG00000182070",5.99912968696943,6.6847228827368,7.71365392641287,7.11421153979548,8.13017762620723,8.20361064796583,"OR52A1"
"ENSG00000244734",6.94065248687434,9.07853445058276,7.31657410087698,7.84798124202875,8.43892237938786,7.89268813848719,"HBB"
"ENSG00000196565",5.18916229606352,5.44585014100165,5.43960949891239,5.51193606298776,5.18916229606352,5.60923011344797,"HBG2"
"ENSG00000213931",6.3395544801225,5.76015704046544,6.07911892161402,5.18916229606352,5.42073917321374,5.67365025968087,"HBE1"
"ENSG00000121236",8.20174418849123,8.35886796029426,8.77135311855968,8.24018989146479,8.5122271998774,8.80041545208744,"TRIM6"
"ENSG00000258659",5.62614418774403,5.70053418619523,5.54290621656904,5.64469130782133,5.42073917321374,5.18916229606352,"TRIM34"
"ENSG00000132256",9.53597210068011,9.37470556238928,10.0458818298533,9.80550968886581,10.0133177666587,10.1603507671825,"TRIM5"
"ENSG00000132274",9.54905338178895,9.05032027178533,11.1893602971351,10.4489946967605,10.4051188976293,10.7226963403299,"TRIM22"
"ENSG00000181074",5.40827875476777,5.63259774045074,5.18916229606352,5.41763530158468,5.58941112753347,5.18916229606352,"OR52N4"
"ENSG00000180988",5.67726142123402,5.63259774045074,5.43960949891239,5.18916229606352,5.65084094740345,5.43225849630727,"OR52N2"
"ENSG00000267940",5.4987433775035,5.76015704046544,6.20214247985267,5.86899050210992,5.8393476545277,5.98620036575663,NA
"ENSG00000180878",5.4987433775035,5.55169810502553,5.18916229606352,5.58406876767317,5.42073917321374,5.53254796178784,"C11orf42"
"ENSG00000051009",9.06361234738158,8.62139489816991,9.04099535408339,8.95070428937247,8.90397570784713,9.03962221885567,"FHIP1B"
"ENSG00000132259",5.7656051608526,5.63259774045074,5.93317541133141,5.58406876767317,5.51631177604261,5.67365025968087,"CNGA4"
"ENSG00000110148",8.53953557668508,8.85375909021625,8.17951678385943,8.77651467675035,8.5122271998774,8.53734620611896,"CCKBR"
"ENSG00000170955",9.81298961484452,10.47041187198,9.50572176524728,9.91248294042919,9.90250900960662,10.04158693914,"CAVIN3"
"ENSG00000282556",5.40827875476777,5.18916229606352,5.74641216277812,5.41763530158468,5.65084094740345,5.60923011344797,"LOC101927825"
"ENSG00000166311",7.2298312172456,6.96387905988418,6.95364296942065,7.01828310233522,6.72215194715822,7.03741143174962,"SMPD1"
"ENSG00000166313",10.0668971523513,9.86943242977663,9.56163546006551,9.91933938559688,9.98136577577274,10.1824554745813,"APBB1"
"ENSG00000110169",5.62614418774403,5.18916229606352,5.74641216277812,5.86899050210992,5.42073917321374,5.43225849630727,"HPX"
"ENSG00000110171",7.95445572145376,7.95564674883527,8.71147473098158,8.40740217900555,8.32343656859514,8.40066992018082,"TRIM3"
"ENSG00000132254",9.95599978612998,10.3500480755057,9.94126224685423,10.3213449441043,10.6388526398259,10.471429982994,"ARFIP2"
"ENSG00000132286",9.56040255057487,10.0139634572065,9.37253662405435,9.70747748751162,9.86942381387622,9.76814959147568,"TIMM10B"
"ENSG00000254595",5.67726142123402,5.81385454988892,6.04521275782602,5.74592806868094,5.58941112753347,5.53254796178784,"LOC644169"
"ENSG00000179532",7.22118918304814,7.22660227047104,7.95635343021597,7.97179882915192,7.16774166353112,7.14393044758189,"DNHD1"
"ENSG00000132275",8.32997253108311,8.52856535025253,8.51939149453837,8.4462762786811,8.4971074810462,8.90473852577614,"RRP8"
"ENSG00000166333",9.0359373537563,8.30101912970514,8.76768368167336,8.76124545536652,8.67540509036375,9.17071412795907,"ILK"
"ENSG00000166337",10.9981651616689,11.5826427261886,10.5868866375502,11.0175036367854,11.3747817301952,10.901771143362,"TAF10"
"ENSG00000166340",10.7607066600963,10.3628011692922,10.3453115456505,10.4231972002224,10.1308363004329,10.0401632366313,"TPP1"
"ENSG00000166341",9.83716819196331,8.93840210341081,9.69834353909949,9.76496453952587,9.12800409628727,9.8500939974956,"DCHS1"
"ENSG00000158042",10.0463125383754,10.487978775029,9.8715759175069,9.93701470176422,10.2717492715596,10.211831735699,"MRPL17"
"ENSG00000254838",5.67726142123402,5.76015704046544,5.54290621656904,5.69793696642301,5.70479122056612,5.73020902711406,"GVINP1"
