Geneid,SK7A-1,SK7A-2,SK7A-3,SK8A-1,SK8A-2,SK8A-3,SK8A-4,SK8A-5,SK8A-6,Wi-1,Wi-2,Wi-3
ENSG00000011485,4955,6081,6681,5317,4724,4319,1524,1252,257,938,862,1339
ENSG00000011523,2864,3198,3690,1943,1984,2311,418,426,76,189,218,402
ENSG00000011566,6510,8241,8031,6975,5584,6091,858,904,180,673,720,1119
ENSG00000011590,8,13,11,12,20,6,0,2,0,6,3,2
ENSG00000011600,7,2,0,4,0,6,0,0,2,0,2,4
ENSG00000011638,392,415,569,389,371,381,109,105,24,95,218,77
ENSG00000011677,157,62,219,148,159,97,28,20,2,33,50,38
ENSG00000012048,1604,1594,1502,1296,586,786,82,134,28,64,8,195
ENSG00000012061,4138,4938,6256,4525,4163,4015,1170,942,193,637,940,1111
ENSG00000012124,44,8,10,10,6,8,0,2,0,0,12,12
ENSG00000012171,919,894,772,469,567,578,187,165,43,952,2325,901
ENSG00000012174,3319,4835,6132,3549,4324,4358,637,743,157,311,212,479
ENSG00000012211,409,805,992,678,922,785,264,201,53,420,621,360
ENSG00000012223,0,0,0,0,0,2,0,0,2,0,0,0
ENSG00000012232,9004,11727,14422,10893,9825,9396,2489,2181,374,1018,1175,1303
ENSG00000012504,2,2,0,0,0,0,0,0,0,0,2,8
ENSG00000012660,7645,8448,9737,6632,6020,6789,1081,1200,257,645,423,1394
ENSG00000012779,2,0,1,0,16,6,3,3,0,6,10,2
ENSG00000012817,0,0,0,2,0,0,0,0,0,0,2,0
ENSG00000012822,8233,11150,10596,5166,6767,6179,2008,1511,307,999,1063,1126
ENSG00000012963,21,35,60,43,44,32,19,53,3,16,4,6
ENSG00000012983,7775,10211,10935,7570,8512,8268,1283,1217,275,891,1012,1223
ENSG00000013016,1988,2498,3160,2095,2512,2282,688,533,115,718,549,406
ENSG00000013275,0,0,2,0,0,2,0,0,0,0,0,0
ENSG00000013288,2513,4155,5238,3259,4278,3523,1155,816,188,702,824,499
ENSG00000013293,123,84,155,148,26,60,6,2,0,4,13,10
ENSG00000013297,234,75,80,44,74,35,16,14,4,20,29,14
ENSG00000013306,5283,6771,8108,5070,5832,5226,1854,1441,320,1323,1891,1306
ENSG00000013364,326,517,598,537,810,477,224,133,51,161,259,199
ENSG00000013374,4343,5435,5987,3702,4207,4289,794,906,153,654,614,776
ENSG00000013375,7433,11770,11375,10049,8972,8315,1578,1253,272,1209,1457,1338
ENSG00000013392,1042,1441,1473,919,1039,991,207,203,35,148,235,190
ENSG00000013441,2743,4075,2513,2230,1986,1529,320,187,50,614,1681,775
