"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000178385",224.879968893757,0.0547799303960257,0.291213291531371,0.18810930678322,0.850790965576781,0.996963966487092,"PLEKHM3"
"ENSG00000185078",1.20404498742726,-0.486418523070755,2.05625876500516,-0.23655511229859,0.813001947030474,NA,"RPL9P14"
"ENSG00000224839",2.4805242932398,0.476148134162501,1.42629855799734,0.333834828264188,0.738504200463211,NA,NA
"ENSG00000229150",82.8063718380403,0.346918302185854,0.990744735006344,0.350159117609273,0.726219286280567,0.996963966487092,NA
"ENSG00000118231",13.8760496495335,-1.30036802289368,0.823188573141871,-1.57967210104795,0.114181977937388,0.753966872023509,"CRYGD"
"ENSG00000182187",2.52742900017498,4.74792824169481,1.86942789706561,2.53977607221306,0.0110923463315126,NA,"CRYGB"
"ENSG00000188674",14.3461244484305,0.784537112452063,0.711621817578231,1.1024635460475,0.270260198297629,0.938145489124214,"C2orf80"
"ENSG00000138413",8349.98887946876,0.475694521765279,0.208438105702663,2.28218597631979,0.0224783626889875,0.380418048014103,"IDH1"
"ENSG00000231908",20.0459211487006,-0.36848894894235,0.634333130007037,-0.580907620162078,0.561302716323252,0.995223898895569,"IDH1-AS1"
"ENSG00000115020",822.409829648491,0.182796350587246,0.277452359796158,0.658838694763833,0.509999356478372,0.995223898895569,"PIKFYVE"
"ENSG00000144407",4.21135648916874,-0.262427386526998,1.11776409155517,-0.234778866587025,0.814380371343066,NA,"PTH2R"
"ENSG00000232799",4.43556251102216,-0.386839201248223,1.13249538148865,-0.341581261673427,0.732666040907698,NA,NA
"ENSG00000229670",3.13811413532796,-1.22826917222758,1.47351886672695,-0.833561890494061,0.404527908244173,NA,NA
"ENSG00000078018",454.354377895051,-0.451134104632369,0.383228419775292,-1.17719376056946,0.239118178467866,0.915992058684326,"MAP2"
"ENSG00000144406",41.315115231801,0.107007018450652,0.513279607518526,0.208477050097475,0.834856500329339,0.996963966487092,"UNC80"
"ENSG00000237194",1.37506385614512,0.45576382200821,2.06345255235037,0.220874389134402,0.825190239453541,NA,NA
"ENSG00000197713",1214.56688364117,-0.0866058441531109,0.215751258313477,-0.40141524471332,0.688114427379128,0.996963966487092,"RPE"
"ENSG00000144445",268.460635606812,-0.249385970082329,0.250516094333012,-0.995488815783707,0.319498581166423,0.960773439152433,"KANSL1L"
"ENSG00000272807",8.69552116869164,0.156290981424068,0.824080573554351,0.189654976029792,0.849579504290521,0.996963966487092,NA
"ENSG00000229127",1.76623112755769,-1.43455377224768,2.12321190487758,-0.675652660458493,0.499261198676561,NA,NA
"ENSG00000115361",15.0368684553179,-0.855849973324747,0.685077738528738,-1.24927424318699,0.211564785239847,0.888677650801977,"ACADL"
"ENSG00000234281",2.8202986518465,-0.146179485463701,1.51753953099835,-0.0963266409063708,0.923261153081803,NA,NA
